# Period        : 0.649472 days
# IsPeriodic    : True
# Normalization : <g_mag>=0
# Spectrum      : "Flat"; or filename
# 
# Phase u_mag  g_mag  r_mag  i_mag  z_mag  y_mag
 0.810  1.259  0.106 -0.132 -0.171 -0.181 -0.181
 0.812  1.259  0.102 -0.135 -0.172 -0.181 -0.181
 0.814  1.258  0.099 -0.137 -0.175 -0.181 -0.181
 0.816  1.257  0.096 -0.140 -0.177 -0.181 -0.181
 0.818  1.257  0.092 -0.143 -0.179 -0.181 -0.181
 0.820  1.256  0.089 -0.146 -0.181 -0.182 -0.182
 0.822  1.255  0.085 -0.149 -0.184 -0.182 -0.182
 0.824  1.254  0.081 -0.152 -0.186 -0.183 -0.183
 0.826  1.252  0.077 -0.156 -0.189 -0.184 -0.184
 0.828  1.251  0.073 -0.159 -0.191 -0.185 -0.185
 0.830  1.249  0.069 -0.162 -0.194 -0.185 -0.185
 0.832  1.247  0.065 -0.166 -0.197 -0.186 -0.186
 0.834  1.246  0.061 -0.169 -0.200 -0.188 -0.188
 0.836  1.243  0.056 -0.173 -0.203 -0.189 -0.189
 0.838  1.241  0.052 -0.177 -0.206 -0.190 -0.190
 0.840  1.239  0.047 -0.180 -0.209 -0.191 -0.191
 0.842  1.236  0.042 -0.184 -0.212 -0.193 -0.193
 0.844  1.233  0.038 -0.188 -0.215 -0.194 -0.194
 0.846  1.230  0.033 -0.192 -0.218 -0.196 -0.196
 0.848  1.227  0.027 -0.196 -0.221 -0.198 -0.198
 0.850  1.224  0.022 -0.200 -0.224 -0.200 -0.200
 0.852  1.221  0.017 -0.204 -0.227 -0.202 -0.202
 0.854  1.217  0.011 -0.208 -0.230 -0.204 -0.204
 0.856  1.214  0.006 -0.212 -0.234 -0.206 -0.206
 0.858  1.210  0.000 -0.216 -0.237 -0.208 -0.208
 0.860  1.206 -0.005 -0.221 -0.240 -0.211 -0.211
 0.862  1.202 -0.011 -0.225 -0.243 -0.214 -0.214
 0.864  1.198 -0.017 -0.229 -0.246 -0.216 -0.216
 0.866  1.193 -0.022 -0.233 -0.249 -0.219 -0.219
 0.868  1.189 -0.028 -0.237 -0.252 -0.222 -0.222
 0.870  1.184 -0.034 -0.241 -0.255 -0.224 -0.224
 0.872  1.179 -0.039 -0.245 -0.258 -0.227 -0.227
 0.874  1.175 -0.044 -0.249 -0.261 -0.230 -0.230
 0.876  1.170 -0.050 -0.253 -0.264 -0.233 -0.233
 0.878  1.165 -0.055 -0.256 -0.267 -0.236 -0.236
 0.880  1.160 -0.060 -0.259 -0.270 -0.239 -0.239
 0.882  1.155 -0.065 -0.263 -0.273 -0.242 -0.242
 0.884  1.150 -0.070 -0.266 -0.276 -0.245 -0.245
 0.886  1.145 -0.075 -0.269 -0.279 -0.247 -0.247
 0.888  1.140 -0.080 -0.273 -0.282 -0.250 -0.250
 0.890  1.135 -0.084 -0.276 -0.285 -0.253 -0.253
 0.892  1.129 -0.089 -0.279 -0.288 -0.256 -0.256
 0.894  1.124 -0.093 -0.282 -0.291 -0.259 -0.259
 0.896  1.119 -0.098 -0.284 -0.294 -0.262 -0.262
 0.898  1.113 -0.102 -0.287 -0.297 -0.264 -0.264
 0.900  1.108 -0.107 -0.290 -0.300 -0.267 -0.267
 0.902  1.102 -0.111 -0.292 -0.303 -0.270 -0.270
 0.904  1.096 -0.115 -0.295 -0.306 -0.272 -0.272
 0.906  1.090 -0.119 -0.297 -0.309 -0.275 -0.275
 0.908  1.084 -0.123 -0.300 -0.311 -0.278 -0.278
 0.910  1.078 -0.127 -0.302 -0.314 -0.281 -0.281
 0.912  1.072 -0.131 -0.304 -0.317 -0.283 -0.283
 0.914  1.065 -0.135 -0.306 -0.320 -0.286 -0.286
 0.916  1.059 -0.138 -0.308 -0.322 -0.288 -0.288
 0.918  1.052 -0.142 -0.310 -0.325 -0.291 -0.291
 0.920  1.046 -0.146 -0.312 -0.327 -0.294 -0.294
 0.922  1.039 -0.149 -0.314 -0.330 -0.296 -0.296
 0.924  1.033 -0.153 -0.315 -0.332 -0.299 -0.299
 0.926  1.026 -0.156 -0.317 -0.334 -0.301 -0.301
 0.928  1.019 -0.159 -0.319 -0.337 -0.304 -0.304
 0.930  1.013 -0.162 -0.320 -0.339 -0.307 -0.307
 0.932  1.006 -0.165 -0.321 -0.341 -0.309 -0.309
 0.934  0.999 -0.168 -0.323 -0.343 -0.312 -0.312
 0.936  0.992 -0.171 -0.324 -0.345 -0.314 -0.314
 0.938  0.986 -0.174 -0.325 -0.346 -0.317 -0.317
 0.940  0.980 -0.177 -0.326 -0.348 -0.319 -0.319
 0.942  0.974 -0.179 -0.328 -0.350 -0.321 -0.321
 0.944  0.968 -0.182 -0.329 -0.351 -0.324 -0.324
 0.946  0.962 -0.184 -0.330 -0.353 -0.326 -0.326
 0.948  0.956 -0.187 -0.331 -0.354 -0.328 -0.328
 0.950  0.950 -0.189 -0.332 -0.356 -0.331 -0.331
 0.952  0.945 -0.191 -0.333 -0.357 -0.333 -0.333
 0.954  0.940 -0.193 -0.334 -0.358 -0.335 -0.335
 0.956  0.936 -0.195 -0.335 -0.359 -0.336 -0.336
 0.958  0.931 -0.197 -0.335 -0.360 -0.338 -0.338
 0.960  0.927 -0.199 -0.336 -0.362 -0.340 -0.340
 0.962  0.923 -0.201 -0.337 -0.362 -0.341 -0.341
 0.964  0.920 -0.202 -0.338 -0.363 -0.343 -0.343
 0.966  0.916 -0.204 -0.338 -0.364 -0.344 -0.344
 0.968  0.912 -0.205 -0.339 -0.365 -0.346 -0.346
 0.970  0.909 -0.207 -0.340 -0.365 -0.347 -0.347
 0.972  0.907 -0.208 -0.340 -0.366 -0.348 -0.348
 0.974  0.904 -0.209 -0.341 -0.366 -0.350 -0.350
 0.976  0.901 -0.210 -0.341 -0.367 -0.351 -0.351
 0.978  0.899 -0.211 -0.342 -0.368 -0.352 -0.352
 0.980  0.896 -0.212 -0.342 -0.368 -0.353 -0.353
 0.982  0.895 -0.213 -0.342 -0.368 -0.353 -0.353
 0.984  0.893 -0.214 -0.343 -0.368 -0.354 -0.354
 0.986  0.891 -0.214 -0.343 -0.369 -0.355 -0.355
 0.988  0.890 -0.215 -0.343 -0.369 -0.355 -0.355
 0.990  0.889 -0.215 -0.343 -0.369 -0.356 -0.356
 0.992  0.888 -0.216 -0.344 -0.369 -0.356 -0.356
 0.994  0.887 -0.216 -0.344 -0.369 -0.356 -0.356
 0.996  0.887 -0.216 -0.344 -0.369 -0.356 -0.356
 0.998  0.886 -0.216 -0.344 -0.369 -0.357 -0.357
