# Period        : 0.649472 days
# IsPeriodic    : True
# Normalization : <g_mag>=0
# Spectrum      : "Flat"; or filename
# 
# Phase u_mag  g_mag  r_mag  i_mag  z_mag  y_mag
 0.182  1.020 -0.097 -0.272 -0.316 -0.308 -0.308
 0.184  1.022 -0.095 -0.271 -0.315 -0.307 -0.307
 0.186  1.024 -0.094 -0.270 -0.314 -0.307 -0.307
 0.188  1.025 -0.092 -0.269 -0.314 -0.306 -0.306
 0.190  1.027 -0.090 -0.268 -0.313 -0.305 -0.305
 0.192  1.028 -0.089 -0.268 -0.312 -0.305 -0.305
 0.194  1.030 -0.087 -0.267 -0.311 -0.304 -0.304
 0.196  1.032 -0.086 -0.266 -0.311 -0.304 -0.304
 0.198  1.033 -0.084 -0.265 -0.310 -0.303 -0.303
 0.200  1.035 -0.082 -0.264 -0.310 -0.303 -0.303
 0.202  1.036 -0.081 -0.263 -0.309 -0.302 -0.302
 0.204  1.038 -0.079 -0.262 -0.308 -0.302 -0.302
 0.206  1.039 -0.077 -0.261 -0.307 -0.301 -0.301
 0.208  1.041 -0.076 -0.260 -0.307 -0.301 -0.301
 0.210  1.042 -0.074 -0.259 -0.306 -0.300 -0.300
 0.212  1.044 -0.073 -0.258 -0.305 -0.300 -0.300
 0.214  1.046 -0.071 -0.257 -0.305 -0.299 -0.299
 0.216  1.047 -0.069 -0.256 -0.304 -0.299 -0.299
 0.218  1.049 -0.067 -0.255 -0.304 -0.299 -0.299
 0.220  1.050 -0.066 -0.254 -0.303 -0.298 -0.298
 0.222  1.052 -0.064 -0.253 -0.302 -0.298 -0.298
 0.224  1.053 -0.062 -0.252 -0.302 -0.297 -0.297
 0.226  1.055 -0.061 -0.251 -0.301 -0.297 -0.297
 0.228  1.056 -0.059 -0.250 -0.301 -0.297 -0.297
 0.230  1.058 -0.057 -0.249 -0.300 -0.296 -0.296
 0.232  1.059 -0.055 -0.248 -0.299 -0.296 -0.296
 0.234  1.061 -0.054 -0.247 -0.299 -0.296 -0.296
